position,latency_in_micros
2,3752
1,1605
1,1503
2,1449
1,1435
1,1449
3,1446
2,1446
1,1598
1,1420
1,1423
1,1432
2,1436
1,1443
12,1435
11,1442
10,1451
9,1481
8,1378
7,1379
6,1327
5,1343
4,1328
3,1392
2,1367
1,1373
6,1442
5,1436
4,1478
3,1485
2,1538
1,1335
2,1442
1,1438
1,1452
12,1469
11,1446
10,1478
9,1456
8,1290
7,1298
6,1319
5,1327
4,1318
3,1325
2,1345
1,1385
1,1444
3,1423
2,1431
1,1468
1,1451
1,1472
2,1451
1,1419
1,1413
1,1440
1,1465
3,1453
2,1450
1,1435
2,1446
1,1442
8,1482
7,1464
6,1502
5,1498
4,1304
3,1320
2,1350
1,1360
1,1429
1,1423
1,1434
3,1430
2,1429
1,1463
7,1414
6,1423
5,1463
4,1602
3,1310
2,1304
1,1296
1,1440
1,1436
1,1448
2,1474
1,1468
1,1431
3,1430
2,1447
1,1493
4,1470
3,1462
2,1479
1,1476
1,1435
1,1456
4,1470
3,1457
2,1467
1,1459
1,1447
1,1451
1,1469
6,1455
5,1428
4,1453
3,1488
2,1320
1,1328
4,1460
3,1434
2,1465
1,1491
1,1454
1,1451
1,1457
1,1427
2,1421
1,1450
2,1459
1,1442
1,1425
1,1421
2,1416
1,1435
1,1451
1,1436
1,1411
2,1410
1,1427
1,1437
3,1431
2,1434
1,1455
1,1427
1,1443
2,1460
1,1440
2,1434
1,1427
1,1427
1,1448
3,1456
2,1446
1,1455
7,1427
6,1433
5,1478
4,1519
3,1498
2,1499
1,1318
1,1438
2,1452
1,1457
2,1442
1,1416
7,1420
6,1421
5,1464
4,1503
3,1316
2,1290
1,1302
3,1449
2,1482
1,1490
2,1462
1,1419
4,1428
3,1440
2,1472
1,1503
1,1450
1,1424
7,1422
6,1436
5,1469
4,1514
3,1314
2,1292
1,1295
4,1444
3,1454
2,1471
1,1456
2,1429
1,1424
2,1445
1,1456
1,1447
1,1449
1,1440
11,1430
10,1445
9,1499
8,1496
7,1312
6,1294
5,1310
4,1327
3,1337
2,1347
1,1339
1,1432
1,1449
2,1471
1,1454
1,1428
2,1428
1,1443
5,1453
4,1469
3,1493
2,1485
1,1324
1,1458
7,1449
6,1465
5,1480
4,1472
3,1310
2,1307
1,1322
1,1465
1,1459
2,1441
1,1433
9,1459
8,1461
7,1506
6,1506
5,1479
4,1487
3,1493
2,1535
1,1572
2,1480
1,1463
4,1452
3,1438
2,1479
1,1491
1,1461
1,1451
1,1436
1,1429
2,1450
1,1457
1,1442
2,1427
1,1432
4,1443
3,1444
2,1484
1,1487
3,1427
2,1422
1,1470
1,1451
1,1468
2,1456
1,1426
2,1432
1,1443
2,1444
1,1448
1,1447
2,1427
1,1427
2,1437
1,1444
1,1445
10,1442
9,1422
8,1462
7,1482
6,1314
5,1330
4,1333
3,1305
2,1331
1,1356
2,1455
1,1449
1,1438
1,1444
10,1460
9,1455
8,1506
7,1500
6,1487
5,1487
4,1485
3,1503
2,1507
1,1517
4,1453
3,1451
2,1459
1,1489
6,1462
5,1490
4,1462
3,1448
2,1445
1,1490
1,1447
1,1462
1,1445
4,1415
3,1420
2,1462
1,1473
1,1452
2,1444
1,1420
1,1418
2,1439
1,1438
1,1436
1,1438
5,1412
4,1423
3,1459
2,1466
1,1478
3,1431
2,1420
1,1439
2,1429
1,1453
2,1434
1,1416
1,1412
4,1427
3,1437
2,1490
1,1477
1,1417
1,1417
2,1428
1,1440
4,1435
3,1438
2,1426
1,1438
1,1443
2,1446
1,1460
1,1436
1,1426
2,1415
1,1432
1,1436
1,1451
10,1433
9,1415
8,1458
7,1471
6,1479
5,1509
4,1347
3,1316
2,1308
1,1323
4,1461
3,1445
2,1432
1,1456
3,1423
2,1432
1,1461
1,1451
5,1430
4,1423
3,1469
2,1482
1,1315
3,1449
2,1441
1,1461
2,1434
1,1449
4,1455
3,1445
2,1449
1,1456
5,1432
4,1451
3,1471
2,1467
1,1457
2,1420
1,1437
1,1451
1,1450
2,1453
1,1427
1,1425
3,1446
2,1443
1,1479
1,1451
1,1440
1,1446
2,1463
1,1484
2,1462
1,1449
1,1432
2,1437
1,1452
1,1462
4,1456
3,1430
2,1433
1,1463
7,1442
6,1467
5,1478
4,1475
3,1461
2,1288
1,1317
1,1459
3,1440
2,1417
1,1447
1,1428
2,1439
1,1444
6,1441
5,1426
4,1455
3,1491
2,1517
1,1530
9,1476
8,1443
7,1473
6,1489
5,1330
4,1365
3,1339
2,1325
1,1342
1,1470
1,1485
1,1487
4,1461
3,1441
2,1442
1,1490
1,1450
2,1459
1,1443
3,1432
2,1426
1,1452
2,1463
1,1447
2,1427
1,1428
1,1431
3,1447
2,1453
1,1449
4,1434
3,1425
2,1470
1,1479
2,1460
1,1446
2,1420
1,1424
1,1431
1,1437
1,1436
2,1435
1,1421
7,1412
6,1426
5,1461
4,1476
3,1309
2,1285
1,1302
2,1440
1,1446
1,1438
1,1415
1,1417
1,1435
3,1450
2,1445
1,1441
2,1414
1,1418
1,1435
2,1450
1,1445
1,1417
1,1416
5,1431
4,1440
3,1469
2,1484
1,1469
2,1697
1,1428
4,1443
3,1462
2,1479
1,1472
3,1425
2,1430
1,1467
9,1457
8,1447
7,1475
6,1456
5,1286
4,1297
3,1327
2,1321
1,1307
1,1432
1,1442
1,1441
3,1450
2,1446
1,1449
2,1420
1,1435
5,1446
4,1435
3,1451
2,1453
1,1456
1,1459
4,1453
3,1435
2,1443
1,1459
12,1434
11,1433
10,1480
9,1493
8,1297
7,1284
6,1297
5,1310
4,1324
3,1342
2,1333
1,1345
6,1446
5,1460
4,1448
3,1460
2,1462
1,1298
3,1441
2,1454
1,1446
3,1431
2,1424
1,1464
1,1445
2,1471
1,1442
1,1417
9,1421
8,1431
7,1465
6,1479
5,1306
4,1293
3,1293
2,1338
1,1333
1,1449
1,1420
2,1421
1,1435
1,1446
2,1431
1,1415
5,1417
4,1417
3,1466
2,1495
1,1304
1,1430
1,1424
2,1441
1,1460
1,1444
10,1437
9,1422
8,1460
7,1474
6,1488
5,1332
4,1323
3,1305
2,1318
1,1339
1,1456
1,1477
3,1448
2,1443
1,1457
1,1450
1,1450
2,1446
1,1420
1,1420
2,1436
1,1472
5,1446
4,1442
3,1458
2,1480
1,1492
1,1448
1,1451
4,1441
3,1420
2,1460
1,1482
5,1461
4,1443
3,1468
2,1452
1,1461
1,1436
4,1455
3,1439
2,1436
1,1430
8,1425
7,1432
6,1473
5,1479
4,1483
3,1295
2,1303
1,1315
1,1459
1,1451
9,1428
8,1423
7,1464
6,1477
5,1326
4,1327
3,1308
2,1329
1,1339
1,1491
1,1475
1,1433
1,1431
2,1431
1,1444
11,1454
10,1454
9,1472
8,1454
7,1475
6,1320
5,1306
4,1322
3,1327
2,1327
1,1347
6,1443
5,1434
4,1470
3,1467
2,1300
1,1311
