loss,hit,mrr,time_this_iter_s,should_checkpoint,done,timesteps_total,episodes_total,training_iteration,trial_id,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore
"tensor(3150.7244, requires_grad=True)",0.7448754870404879,0.3171401269423986,23.911974668502808,True,False,,,1,057b5_00003,e3378b4e8bb94a259cb8519e8c0274e0,2022-04-08_20-54-28,1649451268,23.911974668502808,8383,ip-172-16-5-204,172.16.5.204,23.911974668502808,0,1
"tensor(2661.8447, requires_grad=True)",0.7618160257496188,0.3563783335310407,24.19307041168213,True,False,,,2,057b5_00003,e3378b4e8bb94a259cb8519e8c0274e0,2022-04-08_20-54-53,1649451293,48.10504508018494,8383,ip-172-16-5-204,172.16.5.204,48.10504508018494,0,2
"tensor(2555.5654, requires_grad=True)",0.7684228358461799,0.3631477837551689,121.04245328903198,True,False,,,3,057b5_00003,e3378b4e8bb94a259cb8519e8c0274e0,2022-04-08_20-56-54,1649451414,169.14749836921692,8383,ip-172-16-5-204,172.16.5.204,169.14749836921692,0,3
"tensor(2446.6624, requires_grad=True)",0.7724885651363713,0.37214949919008017,149.70207691192627,True,False,,,4,057b5_00003,e3378b4e8bb94a259cb8519e8c0274e0,2022-04-08_20-59-23,1649451563,318.8495752811432,8383,ip-172-16-5-204,172.16.5.204,318.8495752811432,0,4
"tensor(2424.8357, requires_grad=True)",0.7753684567169236,0.37219767552931704,149.59549283981323,True,False,,,5,057b5_00003,e3378b4e8bb94a259cb8519e8c0274e0,2022-04-08_21-01-53,1649451713,468.4450681209564,8383,ip-172-16-5-204,172.16.5.204,468.4450681209564,0,5
"tensor(2414.1401, requires_grad=True)",0.7760460782652888,0.3730359256200855,149.90734577178955,True,False,,,6,057b5_00003,e3378b4e8bb94a259cb8519e8c0274e0,2022-04-08_21-04-23,1649451863,618.352413892746,8383,ip-172-16-5-204,172.16.5.204,618.352413892746,0,6
"tensor(2397.3652, requires_grad=True)",0.7768931052007454,0.3728168403154072,149.88445830345154,True,False,,,7,057b5_00003,e3378b4e8bb94a259cb8519e8c0274e0,2022-04-08_21-06-53,1649452013,768.2368721961975,8383,ip-172-16-5-204,172.16.5.204,768.2368721961975,0,7
"tensor(2398.3071, requires_grad=True)",0.7762154836523801,0.37246963955570694,150.23252844810486,True,False,,,8,057b5_00003,e3378b4e8bb94a259cb8519e8c0274e0,2022-04-08_21-09-23,1649452163,918.4694006443024,8383,ip-172-16-5-204,172.16.5.204,918.4694006443024,0,8
"tensor(2394.3018, requires_grad=True)",0.7760460782652888,0.37264193684703095,150.34672021865845,True,False,,,9,057b5_00003,e3378b4e8bb94a259cb8519e8c0274e0,2022-04-08_21-11-53,1649452313,1068.8161208629608,8383,ip-172-16-5-204,172.16.5.204,1068.8161208629608,0,9
"tensor(2392.4163, requires_grad=True)",0.7760460782652888,0.3726379671357076,149.46708154678345,True,True,,,10,057b5_00003,e3378b4e8bb94a259cb8519e8c0274e0,2022-04-08_21-14-23,1649452463,1218.2832024097443,8383,ip-172-16-5-204,172.16.5.204,1218.2832024097443,0,10
