position,latency_in_micros
1,2567
1,134
1,108
1,4424
2,7566
3,8113
4,7815
1,3031
1,4033
2,5546
3,5585
4,5898
1,1964
1,309
1,273
2,762
3,1892
4,3284
5,3390
6,3392
7,3701
8,3434
9,3622
1,400
2,401
3,869
4,1239
1,1126
2,1305
3,1253
1,875
1,870
1,540
1,2338
1,1685
1,4301
2,4110
3,3952
1,814
2,3017
1,78
1,2249
2,3179
3,3178
1,3867
1,889
1,3310
2,5148
1,4697
2,5605
1,4237
1,231
2,329
1,5437
2,6696
1,4855
1,134
2,1690
1,4475
2,6404
3,8582
1,30
2,537
1,5291
2,5737
3,6089
4,6083
5,6171
6,6958
1,1574
2,2074
1,514
2,2170
1,1202
2,1803
1,4428
1,492
1,821
1,3892
1,469
2,1737
3,3177
4,3231
1,2628
1,3864
2,4642
1,25
1,2682
2,3701
3,3808
1,2954
1,842
1,513
2,5993
3,6117
1,139
2,178
3,176
4,170
5,640
6,636
7,751
8,736
9,1602
10,1997
1,2334
2,3126
3,4636
4,5983
5,5636
6,7962
7,8405
8,7756
9,8337
10,8153
1,2679
1,3263
1,2982
1,4585
2,4456
3,6162
1,128
1,121
1,516
2,542
1,4414
1,2707
1,3075
2,3594
1,1187
2,3084
3,3084
4,3081
5,3254
6,3296
7,3240
1,2675
2,4697
3,6891
4,7467
1,150
2,3534
3,5464
4,5895
5,5604
6,6823
1,4178
2,5928
3,6143
1,3705
2,5913
1,3927
2,5378
3,5357
4,5430
1,506
2,476
3,3127
1,24
1,23
2,160
1,2153
2,3088
1,510
1,498
1,2804
2,3671
1,4486
1,2244
1,2715
2,4740
1,3192
2,5144
3,4942
4,5243
5,5309
1,4275
1,4184
2,4591
1,3713
1,1126
1,2958
1,294
1,432
2,612
1,1594
1,883
2,1725
1,2931
1,4673
2,4509
3,4452
4,4555
1,4262
2,4826
3,5563
4,5377
5,5455
6,5405
7,5944
8,5520
1,251
1,836
2,1275
3,3610
4,3522
5,3821
1,5666
2,6333
3,6686
4,6772
5,6914
6,7232
7,6973
8,7025
9,7822
10,7617
11,7471
1,509
2,5309
3,5934
1,1332
2,2475
3,3342
4,5699
5,6493
6,6248
7,6469
8,7945
9,8561
10,8290
11,9286
12,8627
1,2665
1,5014
1,3528
1,2849
1,507
1,798
2,3519
3,4030
4,4508
5,4384
6,4784
1,277
2,1579
3,2860
1,302
2,1092
3,3023
1,132
1,3975
1,124
2,737
3,958
1,903
1,815
1,515
2,1099
1,860
2,870
1,1577
1,369
2,622
1,2517
2,3762
1,2117
1,5697
2,6036
3,5641
4,5522
1,4132
1,3405
1,5189
2,5141
3,5260
4,4856
1,2989
2,3084
1,512
1,2806
1,304
2,499
3,2044
1,525
2,2681
3,2647
4,3973
5,6243
6,6868
7,8545
8,8112
9,8333
1,1317
1,29
1,4707
2,5633
3,5409
4,5354
5,5625
6,5883
7,6472
1,333
2,400
1,1920
2,3050
3,3232
4,3299
5,3342
6,3495
7,3846
